Impact category,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro,Hydro Pumped Storage,Solar,Wind Onshore,Unit
climate change total,0.24461801551705,1.45732131891252,0.563766991794368,1.08655163902428,0.904271288922819,6.48430696863625E-06,0.000343010017477,0.634338027357181,1.58913614576691E-06,0.00015135435771,kg CO2-Eq
"respiratory effects, inorganics",3.71332522800945E-08,6.18350993958936E-08,1.31435523966756E-09,1.16587102983423E-08,7.90916062527642E-08,4.03351708286485E-13,5.04848388785223E-13,1.16351231824995E-08,1.42795878492497E-13,3.22671568181997E-12,disease i.
