,Climate Change,,,,,,,,,,Climate Change Composed,,,,,,,,,,Particulate Matter,,,,,,,,,,Particulate Matter Composed,,,,,,,,,,
,raw,,,,,seasonal dec,,,,,raw,,,,,seasonal dec,,,,,raw,,,,,seasonal dec,,,,,raw,,,,,seasonal dec,,,,,
,linear regression,NN 32,NN 64,LSTM 32,LSTM 64,linear regression,NN 32,NN 64,LSTM 32,LSTM 64,linear regression,NN 32,NN 64,LSTM 32,LSTM 64,linear regression,NN 32,NN 64,LSTM 32,LSTM 64,linear regression,NN 32,NN 64,LSTM 32,LSTM 64,linear regression,NN 32,NN 64,LSTM 32,LSTM 64,linear regression,NN 32,NN 64,LSTM 32,LSTM 64,linear regression,NN 32,NN 64,LSTM 32,LSTM 64,
SMAPE, 5.034262013008014, 4.395729478084756, 4.413921619919918, 4.874813366482994, 6.083092679503182, 5.035288195586212, 4.565759707624054, 4.6701682922408425, 4.779835284833943, 5.144787218935811, 4.795232232597474, 4.213012816556718, 4.237280765980208, 5.643701307717083, 5.083813125635598, 4.870728412695653, 4.3491735816447035, 4.527685976702484, 4.864005726664006, 5.486016224050835, 4.00328755378113, 3.775749882011578, 3.820615848302989, 4.348955842839966, 4.240060639065559, 4.0017164445593725, 3.941822195426269, 3.7704924964476256, 4.399296006379023, 4.169013867429186, 3.746716401859009, 3.6910226911158492, 3.767002788221135, 4.173238269924629, 4.0752854028199526, 3.8773372182796226, 3.8280007277943735, 3.874085837734562, 3.978709058570603, 5.019612521170669
RMSE, 1644.7449344871745, 1490.795400371791, 1471.7955090029438, 1674.886331122136, 2024.347359641978, 1644.9672637195856, 1512.9780845682328, 1546.2191148488519, 1620.89357194825, 1768.0841977468608, 1567.9706273532663, 1417.221352111727, 1404.7928354201897, 1944.644471545705, 1690.9694314447624, 1598.880468230092, 1513.56241831009, 1500.7229506191127, 1637.3033309323905, 1816.2472910727636, 1.4040834724534391e-05, 1.3414235438606037e-05, 1.323754731435306e-05, 1.4850581770052226e-05, 1.4491755701571631e-05, 1.4039259674043995e-05, 1.3922626327961415e-05, 1.3069524215533811e-05, 1.4917598732032269e-05, 1.4329751669474483e-05, 1.287941708220587e-05, 1.2477271734533373e-05, 1.272436475641915e-05, 1.4291837262111883e-05, 1.3829261059223275e-05, 1.3614811961249572e-05, 1.3034511961208833e-05, 1.3098812191087782e-05, 1.3493884772991942e-05, 1.7756704468710957e-05
R2, 0.5458894658574821, 0.6788525670394513, 0.6583854553379155, 0.567689447813895, 0.12833293755245737, 0.5455486910725659, 0.62009582828217, 0.5718107647777044, 0.5771891635130405, 0.45360104636869547, 0.6417682506815052, 0.7397616663399718, 0.7031391778850754, 0.28994798216324025, 0.5180362584970893, 0.6219687236702977, 0.704053884751553, 0.6793259010233572, 0.6182145080605751, 0.3728144636245583, 0.6251916496953228, 0.6721441714309814, 0.6442431451293793, 0.5712217301004704, 0.5848323268049204, 0.6253214520329659, 0.6581757822641254, 0.6990146662088558, 0.5726965121634988, 0.574257086498877, 0.7128836005523539, 0.7475597653544866, 0.682981470148556, 0.6107013360126725, 0.6767103974027537, 0.6776557237954078, 0.6928927951812236, 0.7079347351154813, 0.7082817395801935, -0.20786251698558697
